category,product_name,active_ingredients,strength,form,package,pharmacy,sku,wholesale_cost,retail_price,rx_required,tags,notes
Hormone Therapy,Anastrozole,,0.1mg,capsule,,V Pharm,ANA10,0.5,,yes,aromatase-inhibitor,form inferred
Hormone Therapy,Anastrozole,,0.25mg,capsule,,V Pharm,ANA25,0.5,,yes,aromatase-inhibitor,form inferred
Hormone Therapy,Anastrozole,,0.5mg,capsule,,V Pharm,ANA50,0.5,,yes,aromatase-inhibitor,form inferred
Hormone Therapy,Anastrozole,,1mg,capsule,,V Pharm,ANA100,0.5,,yes,aromatase-inhibitor,form inferred
Hormone Therapy,BIEST(80 E3: 20 E2),,0.5MG/ML,cream,30mLTube,V Pharm,BIEST802005,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,1MG/ML,cream,30mLTube,V Pharm,BIEST80201,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,1.5MG/ML,cream,30mLTube,V Pharm,BIEST802015,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,2MG/ML,cream,30mLTube,V Pharm,BIEST80202,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,2.5MG/ML,cream,30mLTube,V Pharm,BIEST80202.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,3MG/ML,cream,30mLTube,V Pharm,BIEST802023,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,3.5MG/ML,cream,30mLTube,V Pharm,BIEST802023.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,4MG/ML,cream,30mLTube,V Pharm,BIEST802024,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,4.5MG/ML,cream,30mLTube,V Pharm,BIEST802024.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,5MG/ML,cream,30mLTube,V Pharm,BIEST802025,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,5.5MG/ML,cream,30mLTube,V Pharm,BIEST802025.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,6MG/ML,cream,30mLTube,V Pharm,BIEST802026,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,6.5MG/ML,cream,30mLTube,V Pharm,BIEST802026.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,7MG/ML,cream,30mLTube,V Pharm,BIEST802027,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,7.5MG/ML,cream,30mLTube,V Pharm,BIEST802027.5,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,8MG/ML,cream,30mLTube,V Pharm,BIEST802028,27.5,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,1MG,capsule,,V Pharm,BIEST802021CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,1.5MG,capsule,,V Pharm,BIEST802021.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,2MG,capsule,,V Pharm,BIEST802022CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,2.5MG,capsule,,V Pharm,BIEST8020212.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,3MG,capsule,,V Pharm,BIEST802023CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,3.5MG,capsule,,V Pharm,BIEST802023.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,4MG,capsule,,V Pharm,BIEST802024CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,4.5MG,capsule,,V Pharm,BIEST802024.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,5MG,capsule,,V Pharm,BIEST802025CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,5.5MG,capsule,,V Pharm,BIEST802025.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(80 E3: 20 E2),,6MG,capsule,,V Pharm,BIEST802026CAP,0.75,,yes,,
